#,Date-Time (PST),Ch: 1 - Temperature   (°C),Ch: 2 - RH   (%),Dew Point   (°C),Host Connected,End of File
1,04/14/2021 13:42:24,25.19,28.82,5.82,,
2,04/14/2021 14:42:24,32.27,12.91,0.27,,
3,04/14/2021 15:42:24,32.87,12.16,-0.08,,
4,04/14/2021 16:42:24,32.87,12.11,-0.14,,
5,04/14/2021 17:42:24,32.93,11.87,-0.37,,
6,04/14/2021 18:42:24,32.90,11.91,-0.35,,
7,04/14/2021 19:42:24,32.87,11.92,-0.36,,
8,04/14/2021 20:42:24,32.84,11.89,-0.43,,
9,04/14/2021 21:42:24,34.10,28.95,13.53,,
10,04/14/2021 22:42:24,33.77,37.38,17.23,,
11,04/14/2021 23:42:24,33.75,35.44,16.37,,
12,04/15/2021 00:42:24,33.65,39.49,17.99,,
13,04/15/2021 01:42:24,33.67,35.79,16.46,,
14,04/15/2021 02:42:24,33.67,31.50,14.46,,
15,04/15/2021 03:42:24,33.71,24.81,10.85,,
16,04/15/2021 04:42:24,33.73,21.00,8.38,,
17,04/15/2021 05:42:24,33.74,16.52,4.89,,
18,04/15/2021 06:42:24,33.76,15.29,3.81,,
19,04/15/2021 07:42:24,33.76,14.67,3.23,,
20,04/15/2021 08:42:24,33.78,14.32,2.90,,
21,04/15/2021 09:42:24,32.42,13.51,1.02,,
22,04/15/2021 10:42:24,32.75,13.12,0.87,,
23,04/15/2021 11:42:24,32.84,12.68,0.47,,
24,04/15/2021 12:42:24,32.87,12.45,0.24,,
25,04/15/2021 13:42:24,32.94,12.29,0.11,,
26,04/15/2021 14:42:24,32.92,12.22,0.02,,
27,04/15/2021 15:42:24,32.93,12.08,-0.13,,
28,04/15/2021 16:42:24,32.91,12.00,-0.24,,
29,04/15/2021 17:42:24,32.27,14.01,1.41,,
30,04/15/2021 18:42:24,32.89,12.29,0.07,,
31,04/15/2021 19:42:24,32.91,12.11,-0.11,,
32,04/15/2021 20:42:24,32.97,12.00,-0.20,,
33,04/15/2021 21:42:24,34.06,32.53,15.30,,
34,04/15/2021 22:42:24,33.77,33.87,15.68,,
35,04/15/2021 23:42:24,33.76,32.39,14.97,,
36,04/16/2021 00:42:24,33.65,25.63,11.29,,
37,04/16/2021 01:42:24,33.66,21.25,8.50,,
38,04/16/2021 02:42:24,33.68,23.59,10.07,,
39,04/16/2021 03:42:24,33.74,16.33,4.73,,
40,04/16/2021 04:42:24,33.71,14.65,3.17,,
41,04/16/2021 05:42:24,33.72,14.27,2.80,,
42,04/16/2021 06:42:24,33.73,13.85,2.39,,
43,04/16/2021 07:42:24,33.74,13.58,2.12,,
44,04/16/2021 08:42:24,33.74,13.45,1.98,,
45,04/16/2021 09:42:24,32.38,12.56,-0.02,,
46,04/16/2021 10:42:24,35.80,25.43,12.98,,
47,04/16/2021 11:42:24,38.58,27.36,16.46,,
48,04/16/2021 12:42:24,38.59,27.05,16.29,,
49,04/16/2021 13:42:24,38.62,21.04,12.43,,
50,04/16/2021 14:42:24,38.60,16.38,8.65,,
51,04/16/2021 15:42:24,38.58,13.89,6.22,,
52,04/16/2021 16:42:24,38.58,13.30,5.59,,
53,04/16/2021 17:42:24,38.54,11.92,4.00,,
54,04/16/2021 18:42:24,38.58,11.52,3.54,,
55,04/16/2021 19:42:24,38.58,11.14,3.06,,
56,04/16/2021 20:42:24,38.59,10.99,2.88,,
57,04/16/2021 21:42:24,39.82,29.98,18.97,,
58,04/16/2021 22:42:24,39.55,25.25,16.02,,
59,04/16/2021 23:42:24,39.53,17.94,10.75,,
60,04/17/2021 00:42:24,39.39,14.61,7.59,,
61,04/17/2021 01:42:24,39.54,12.36,5.29,,
62,04/17/2021 02:42:24,39.58,11.47,4.25,,
63,04/17/2021 03:42:24,39.62,11.47,4.27,,
64,04/17/2021 04:42:24,39.59,10.76,3.34,,
65,04/17/2021 05:42:24,39.63,11.09,3.80,,
66,04/17/2021 06:42:24,39.63,11.28,4.05,,
67,04/17/2021 07:42:24,39.62,14.87,8.03,,
68,04/17/2021 08:42:24,39.65,25.90,16.50,,
69,04/17/2021 09:42:24,38.28,17.81,9.64,,
70,04/17/2021 10:42:24,38.61,12.99,5.28,,
71,04/17/2021 11:42:24,38.68,11.32,3.37,,
72,04/17/2021 12:42:24,38.67,10.69,2.56,,
73,04/17/2021 13:42:24,38.67,10.40,2.17,,
74,04/17/2021 14:42:24,38.65,10.10,1.74,,
75,04/17/2021 15:42:24,38.69,10.27,2.01,,
76,04/17/2021 16:42:24,38.67,10.06,1.71,,
77,04/17/2021 17:42:24,38.67,9.95,1.55,,
78,04/17/2021 18:42:24,38.67,9.90,1.48,,
79,04/17/2021 19:42:24,38.71,9.90,1.51,,
80,04/17/2021 20:42:24,38.69,9.84,1.41,,
81,04/17/2021 21:42:24,40.00,27.30,17.63,,
82,04/17/2021 22:42:24,39.70,26.41,16.85,,
83,04/17/2021 23:42:24,39.65,18.48,11.30,,
84,04/18/2021 00:42:24,39.57,14.61,7.74,,
85,04/18/2021 01:42:24,39.66,11.34,4.14,,
86,04/18/2021 02:42:24,39.65,10.70,3.31,,
87,04/18/2021 03:42:24,39.67,10.16,2.59,,
88,04/18/2021 04:42:24,39.66,9.81,2.09,,
89,04/18/2021 05:42:24,39.66,9.62,1.82,,
90,04/18/2021 06:42:24,39.67,9.36,1.44,,
91,04/18/2021 07:42:24,39.67,9.04,0.96,,
92,04/18/2021 08:42:24,39.68,9.04,0.97,,
93,04/18/2021 09:42:24,38.36,8.82,-0.35,,
94,04/18/2021 10:42:24,38.69,8.53,-0.56,,
95,04/18/2021 11:42:24,38.69,8.32,-0.90,,
96,04/18/2021 12:42:24,38.71,8.30,-0.91,,
97,04/18/2021 13:42:24,38.75,8.31,-0.89,,
98,04/18/2021 14:42:24,38.74,8.23,-1.02,,
99,04/18/2021 15:42:24,38.71,8.16,-1.16,,
100,04/18/2021 16:42:24,38.75,8.12,-1.19,,
101,04/18/2021 17:42:24,38.70,8.16,-1.16,,
102,04/18/2021 18:42:24,38.70,8.10,-1.26,,
103,04/18/2021 19:42:24,38.76,8.12,-1.19,,
104,04/18/2021 20:42:24,38.73,8.16,-1.15,,
105,04/18/2021 21:42:24,40.09,18.68,11.82,,
106,04/18/2021 22:42:24,39.78,18.80,11.66,,
107,04/18/2021 23:42:24,39.74,19.37,12.09,,
108,04/19/2021 00:42:24,39.56,13.58,6.66,,
109,04/19/2021 01:42:24,39.72,10.71,3.37,,
110,04/19/2021 02:42:24,39.74,9.55,1.78,,
111,04/19/2021 03:42:24,39.74,9.00,0.96,,
112,04/19/2021 04:42:24,39.72,8.78,0.59,,
113,04/19/2021 05:42:24,39.73,8.48,0.12,,
114,04/19/2021 06:42:24,39.71,8.25,-0.26,,
115,04/19/2021 07:42:24,39.77,8.13,-0.44,,
116,04/19/2021 08:42:24,39.76,8.09,-0.51,,
117,04/19/2021 09:42:24,38.44,8.16,-1.35,,
118,04/19/2021 10:42:24,38.75,8.05,-1.32,,
119,04/19/2021 11:42:24,38.79,7.97,-1.41,,
120,04/19/2021 12:42:24,38.77,7.97,-1.43,,
121,04/19/2021 13:42:24,38.74,7.93,-1.52,,
122,04/19/2021 14:42:24,38.74,7.88,-1.61,,
123,04/19/2021 15:42:24,38.76,7.80,-1.72,,
124,04/19/2021 16:42:24,31.98,21.62,7.36,,
125,04/19/2021 17:42:24,38.50,62.78,30.17,,
126,04/19/2021 18:42:24,38.86,64.68,31.03,,
127,04/19/2021 19:42:24,38.98,65.52,31.37,,
128,04/19/2021 20:42:24,38.92,66.77,31.64,,
129,04/19/2021 21:42:24,39.67,65.87,32.11,,
130,04/19/2021 22:42:24,39.55,65.46,31.89,,
131,04/19/2021 23:42:24,39.50,65.61,31.88,,
132,04/20/2021 00:42:24,39.35,71.78,33.34,,
133,04/20/2021 01:42:24,39.26,72.49,33.43,,
134,04/20/2021 02:42:24,39.48,67.39,32.34,,
135,04/20/2021 03:42:24,39.49,66.68,32.16,,
136,04/20/2021 04:42:24,39.49,67.99,32.50,,
137,04/20/2021 05:42:24,39.41,67.90,32.41,,
138,04/20/2021 06:42:24,39.34,65.79,31.78,,
139,04/20/2021 07:42:24,39.44,64.68,31.58,,
140,04/20/2021 08:42:24,39.49,63.81,31.38,,
141,04/20/2021 09:42:24,38.64,69.28,32.03,,
142,04/20/2021 10:42:24,38.77,67.88,31.79,,
143,04/20/2021 11:42:24,38.83,68.17,31.93,,
144,04/20/2021 12:42:24,38.85,68.26,31.97,,
145,04/20/2021 13:42:24,38.89,68.64,32.10,,
146,04/20/2021 14:42:24,38.85,68.46,32.03,,
147,04/20/2021 15:42:24,38.86,71.37,32.77,,
148,04/20/2021 16:42:24,38.83,72.30,32.97,,
149,04/20/2021 17:42:24,38.79,74.07,33.37,,
150,04/20/2021 18:42:24,38.83,74.52,33.51,,
151,04/20/2021 19:42:24,38.81,75.22,33.66,,
152,04/20/2021 20:42:24,38.80,75.19,33.65,,
153,04/20/2021 21:42:24,39.68,72.18,33.76,,
154,04/20/2021 22:42:24,39.52,70.93,33.29,,
155,04/20/2021 23:42:24,39.50,68.41,32.63,,
156,04/21/2021 00:42:24,39.40,66.53,32.04,,
157,04/21/2021 01:42:24,39.45,64.63,31.57,,
158,04/21/2021 02:42:24,39.49,63.65,31.34,,
159,04/21/2021 03:42:24,39.47,63.98,31.41,,
160,04/21/2021 04:42:24,39.49,64.76,31.64,,
161,04/21/2021 05:42:24,39.47,64.94,31.67,,
162,04/21/2021 06:42:24,39.45,65.46,31.80,,
163,04/21/2021 07:42:24,39.47,66.08,31.98,,
164,04/21/2021 08:42:24,39.47,68.23,32.55,,
165,04/21/2021 09:42:24,38.64,72.60,32.86,,
166,04/21/2021 10:42:24,38.70,70.80,32.48,,
167,04/21/2021 11:42:24,38.77,70.24,32.40,,
168,04/21/2021 12:42:24,26.51,88.95,24.57,,
169,04/21/2021 13:42:24,22.71,86.13,20.30,,
170,04/21/2021 14:42:24,22.27,88.95,20.39,,
171,04/21/2021 15:42:24,32.33,92.23,30.95,,
172,04/21/2021 16:42:24,38.55,86.41,35.92,,
173,04/21/2021 17:42:24,38.69,84.61,35.67,,
174,04/21/2021 18:42:24,38.69,84.79,35.71,,
175,04/21/2021 19:42:24,38.68,85.19,35.79,,
176,04/21/2021 20:42:24,38.67,85.18,35.77,,
177,04/21/2021 21:42:24,39.43,88.80,37.29,,
178,04/21/2021 22:42:24,39.14,89.06,37.05,,
179,04/21/2021 23:42:24,39.14,89.04,37.05,,
180,04/22/2021 00:42:24,38.96,88.71,36.80,,
