#,Date-Time (PST),Ch: 1 - Temperature   (°C),Ch: 2 - RH   (%),Dew Point   (°C),Host Connected,End of File
1,04/14/2021 12:44:22,23.36,38.55,8.46,,
2,04/14/2021 13:14:22,23.06,36.87,7.54,,
3,04/14/2021 13:44:22,23.77,34.40,7.16,,
4,04/14/2021 14:14:22,29.70,73.93,24.58,,
5,04/14/2021 14:44:22,32.64,76.74,28.06,,
6,04/14/2021 15:14:22,33.31,78.31,29.05,,
7,04/14/2021 15:44:22,33.50,78.97,29.38,,
8,04/14/2021 16:14:22,33.57,79.95,29.66,,
9,04/14/2021 16:44:22,33.57,80.12,29.70,,
10,04/14/2021 17:14:22,33.57,80.68,29.82,,
11,04/14/2021 17:44:22,33.57,80.56,29.79,,
12,04/14/2021 18:14:22,33.55,80.66,29.79,,
13,04/14/2021 18:44:22,33.53,80.83,29.82,,
14,04/14/2021 19:14:22,33.52,80.74,29.79,,
15,04/14/2021 19:44:22,33.53,80.88,29.83,,
16,04/14/2021 20:14:22,33.53,81.10,29.88,,
17,04/14/2021 20:44:22,33.52,81.23,29.90,,
18,04/14/2021 21:14:22,33.42,81.61,29.87,,
19,04/14/2021 21:44:22,34.05,84.16,31.03,,
20,04/14/2021 22:14:22,33.87,85.51,31.13,,
21,04/14/2021 22:44:22,33.76,86.11,31.15,,
22,04/14/2021 23:14:22,33.70,86.18,31.10,,
23,04/14/2021 23:44:22,33.71,86.26,31.13,,
24,04/15/2021 00:14:22,33.67,86.58,31.16,,
25,04/15/2021 00:44:22,33.59,86.80,31.12,,
26,04/15/2021 01:14:22,33.61,86.90,31.16,,
27,04/15/2021 01:44:22,33.62,86.75,31.14,,
28,04/15/2021 02:14:22,33.62,86.62,31.12,,
29,04/15/2021 02:44:22,33.65,86.31,31.08,,
30,04/15/2021 03:14:22,33.67,86.05,31.05,,
31,04/15/2021 03:44:22,33.67,85.77,31.00,,
32,04/15/2021 04:14:22,33.72,85.65,31.01,,
33,04/15/2021 04:44:22,33.70,85.52,30.97,,
34,04/15/2021 05:14:22,33.73,85.07,30.91,,
35,04/15/2021 05:44:22,33.73,84.95,30.88,,
36,04/15/2021 06:14:22,33.76,85.22,30.97,,
37,04/15/2021 06:44:22,33.74,85.05,30.91,,
38,04/15/2021 07:14:22,33.76,84.79,30.88,,
39,04/15/2021 07:44:22,33.75,84.93,30.90,,
40,04/15/2021 08:14:22,33.76,84.78,30.88,,
41,04/15/2021 08:44:22,33.77,84.96,30.92,,
42,04/15/2021 09:14:22,33.94,84.75,31.05,,
43,04/15/2021 09:44:22,33.22,83.83,30.15,,
44,04/15/2021 10:14:22,33.38,82.96,30.13,,
45,04/15/2021 10:44:22,33.50,82.64,30.18,,
46,04/15/2021 11:14:22,33.52,83.04,30.28,,
47,04/15/2021 11:44:22,33.52,82.87,30.25,,
48,04/15/2021 12:14:22,33.57,82.73,30.26,,
49,04/15/2021 12:44:22,33.56,83.07,30.32,,
50,04/15/2021 13:14:22,33.58,83.26,30.38,,
51,04/15/2021 13:44:22,33.59,83.11,30.36,,
52,04/15/2021 14:14:22,33.57,83.33,30.38,,
53,04/15/2021 14:44:22,33.57,83.16,30.35,,
54,04/15/2021 15:14:22,33.57,83.20,30.36,,
55,04/15/2021 15:44:22,33.59,83.14,30.37,,
56,04/15/2021 16:14:22,33.57,83.40,30.40,,
